start_index,direction,t,ratio
1,3,9.6,5.844342886162307
1,3,9.7,5.847250923282818
1,3,9.8,5.850200584798908
1,3,9.9,5.853219707419808
1,3,10.0,5.856336098307858
1,4,0.0,0.0
1,4,0.1,0.1887883251322652
1,4,0.2,0.37013703378259993
1,4,0.3,0.5447604017130858
1,4,0.4,0.7133593329173029
1,4,0.5,0.8765538868374452
1,4,0.6,1.0348622295885102
1,4,0.7,1.1887033999012397
1,4,0.8,1.3384102483149312
1,4,0.9,1.4842451705141133
1,4,1.0,1.6264151003138092
1,4,1.1,1.7650843681347277
1,4,1.2,1.9003851155030198
1,4,1.3,2.0324254434891533
1,4,1.4,2.161295648080743
1,4,1.5,2.287072920848459
1,4,1.6,2.4098248555022392
1,4,1.7,2.5296120431647844
1,4,1.8,2.646489980993382
1,4,1.9,2.7605104678823547
1,4,2.0,2.871722619408856
1,4,2.1,2.9801736014826914
1,4,2.2,3.0859091570380563
1,4,2.3,3.18897398104101
1,4,2.4,3.2894119847937024
1,4,2.5,3.3872664798131895
1,4,2.6,3.4825803036080836
1,4,2.7,3.575395903772207
1,4,2.8,3.665755392428243
1,4,2.9,3.7537005798202268
1,4,3.0,3.839272993452203
1,4,3.1,3.9225138874146253
1,4,3.2,4.003464245228128
1,4,3.3,4.082164778586769
1,4,3.4,4.1586559236864895
1,4,3.5,4.232977836305291
1,4,3.6,4.305170386443151
1,4,3.7,4.375273153059059
1,4,3.8,4.443325419248235
1,4,3.9,4.509366168072034
1,4,4.0,4.573434079158612
1,4,4.1,4.635567526125972
1,4,4.2,4.695804574834212
1,4,4.3,4.75418298244857
1,4,4.4,4.810740197274266
1,4,4.5,4.865513359315849
1,4,4.6,4.918539301509561
1,4,4.7,4.969854551572289
1,4,4.8,5.019495334418793
1,4,4.9,5.0674975750938955
1,4,5.0,5.113896902174936
1,4,5.1,5.1587286516023765
1,4,5.2,5.202027870897348
1,4,5.3,5.243829323737905
1,4,5.4,5.2841674948558195
1,4,5.5,5.323076595230879
1,4,5.6,5.360590567561285
1,4,5.7,5.396743091983623
1,4,5.8,5.431567592028261
1,4,5.9,5.46509724079643
1,4,6.0,5.497364967339612
1,4,6.1,5.5284034632340955
1,4,6.2,5.558245189342098
1,4,6.3,5.586922382748114
1,4,6.4,5.614467063865931
1,4,6.5,5.640911043708221
1,4,6.6,5.666285931319688
1,4,6.7,5.690623141365643
1,4,6.8,5.713953901872194
1,4,6.9,5.736309262126432
1,4,7.0,5.757720100721203
1,4,7.1,5.778217133759118
1,4,7.2,5.797830923204305
1,4,7.3,5.816591885391758
1,4,7.4,5.834530299692991
1,4,7.5,5.851676317339825
1,4,7.6,5.868059970411324
1,4,7.7,5.8837111809882
1,4,7.8,5.898659770476922
1,4,7.9,5.912935469110578
1,4,8.0,5.926567925635041
1,4,8.1,5.939586717178067
1,4,8.2,5.952021359323961
1,4,8.3,5.963901316385879
1,4,8.4,5.975256011896321
1,4,8.5,5.986114839321938
1,4,8.6,5.996507173014222
1,4,8.7,6.006462379407468
1,4,8.8,6.016009828479898
1,4,8.9,6.025178905492885
1,4,9.0,6.033999023018685
1,4,9.1,6.042499633284746
1,4,9.2,6.05071024084423
1,4,9.3,6.058660415599797
1,4,9.4,6.066379806203948
1,4,9.5,6.073898153857058
1,4,9.6,6.081245306536645
1,4,9.7,6.08845123368245
1,4,9.8,6.095546041377991
1,4,9.9,6.102559988055242
1,4,10.0,6.109523500770966
1,5,0.0,0.0
1,5,0.1,0.19014270111880083
1,5,0.2,0.356225689360805
1,5,0.3,0.5023734202105173
1,5,0.4,0.6323480848048052
1,5,0.5,0.7493676439604168
1,5,0.6,0.8560676337247366
1,5,0.7,0.9545410319430739
1,5,0.8,1.0464128983410304
1,5,0.9,1.132924070162662
1,5,1.0,1.2150103076965544
1,5,1.1,1.2933708777232922
1,5,1.2,1.368524916099666
1,5,1.3,1.4408561514001195
1,5,1.4,1.510647540534471
1,5,1.5,1.5781076309761022
1,5,1.6,1.6433903755835948
1,5,1.7,1.7066098898802258
1,5,1.8,1.7678513680953203
1,5,1.9,1.8271791164139413
1,5,2.0,1.8846424410261178
1,5,2.1,1.940279949463648
1,5,2.2,1.9941226833263934
1,5,2.3,2.046196392977871
1,5,2.4,2.096523183653176
1,5,2.5,2.1451227018687242
1,5,2.6,2.1920129861587303
1,5,2.7,2.23721107305717
1,5,2.8,2.280733424927844
1,5,2.9,2.322596228385857
1,5,3.0,2.3628155989793997
1,5,3.1,2.401407718201476
1,5,3.2,2.4383889218946324
1,5,3.3,2.4737757539542886
1,5,3.4,2.5075849954765843
1,5,3.5,2.5398336767235747
1,5,3.6,2.5705390772615324
1,5,3.7,2.5997187181392056
1,5,3.8,2.6273903488853034
1,5,3.9,2.6535719313161152
1,5,4.0,2.67828162155437
1,5,4.1,2.7015377512385745
1,5,4.2,2.723358808605008
1,5,4.3,2.743763419883543
1,5,4.4,2.76277033130658
1,5,4.5,2.780398391900521
1,5,4.6,2.7966665371654797
1,5,4.7,2.8115937736725805
1,5,4.8,2.825199164587653
1,5,4.9,2.8375018160938548
1,5,5.0,2.8485208646723166
1,5,5.1,2.858275465193817
1,5,5.2,2.866784779762928
1,5,5.3,2.874067967259251
1,5,5.4,2.8801441735204483
