t,obs_max_l1,lipschitz_l1,lognorm_l1,obs_max_l2,lipschitz_l2,lognorm_l2
6.5,0.8242164789315575,411333059.4924367,2025.180778309647,13.26153143309396,1424054046.8247805,18257.151147179844
6.6,0.8179688520209669,558109829.5594137,2276.839779324896,13.323689523734606,1932202004.0053046,20526.99604854311
6.7,0.8117674820361457,757261237.9739081,2559.7711751161114,13.383471780804006,2621673378.18305,23078.90312749305
6.8,0.8056186254636957,1027476228.0937926,2877.8610284550487,13.440954767185875,3557170154.4530153,25947.922828215087
6.9,0.7995274810954152,1394112555.0311375,3235.4783035341748,13.49621471801272,4826482052.217001,29173.461136811464
7.0,0.7934984255617891,1891576430.6305983,3637.5348736906167,13.549327565257926,6548724966.007936,32799.82082252724
7.1,0.7875351996605172,2566551301.7614746,4089.552985987324,13.600368962861223,8885519145.06523,36876.80993629377
7.2,0.7816410561410488,3482378759.803833,4597.741109277495,13.64941431240628,12056156104.317684,41460.425924317446
7.3,0.7758188773190374,4725002698.527752,5169.07920752534,13.696538789377392,16358177573.505487,46613.62475301294
7.4,0.770071269095936,6411034537.309253,5811.4146096124105,13.74181737002203,22195297672.46386,52407.18560921341
7.5,0.7644006365264316,8698696373.52349,6533.569792401163,13.78532485884438,30115288610.141907,58920.68305231415
7.6,0.758809244975874,11802669001.14197,7345.463557456293,13.827135916771208,40861385210.77464,66243.57997086048
7.7,0.7532992700253162,16014238176.483511,8258.24726578593,13.867325090008151,55442032216.412544,74476.45635533736
7.8,0.7478728386190558,21728629714.882854,9284.45800178711,13.905966839635884,75225519654.1199,83732.3907643569
7.9,0.742532063404015,29482098622.699844,10438.190770102268,13.943135571976416,102068387124.03398,94138.5134586817
8.0,0.737279071815383,40002252815.93585,11735.29209051035,13.97890566977664,138489646837.52692,105837.75253537757
8.1,0.7321160311212124,54276333948.56034,13193.57764987902,14.013351524247623,187907174998.57285,118990.7970452542
8.2,0.7270451704117308,73643863020.68608,14833.077000626872,14.046547568013072,254958455178.29218,133778.30405700582
8.3,0.7220688003046791,99922344898.04678,16676.308666629462,14.078568309016502,345935773167.3233,150403.37998208188
8.4,0.7171893310002568,135577828217.94138,18748.58943514869,14.109488365443148,469376703247.88715,169094.37024128388
8.5,0.7124092891935766,183956326515.84082,21078.382082910623,14.139382501714804,636865298822.7946,190107.99558916333
8.6,0.707731334271034,249597817799.56723,23697.686312348607,14.16832566562728,864119173444.0168,213732.87817362847
8.7,0.7031582741336594,338662289197.98016,26642.478267522198,14.19639302669562,1172464487064.2493,240293.50576120013
8.8,0.6986930809568317,459507807944.52924,29953.204666461985,14.264367211830397,1590837254481.4526,270154.6885765404
8.9,0.6943389071312314,623474866546.331,33675.33833684913,14.338120755568273,2158498784540.9072,303726.569970955
9.0,0.6900991016269076,845950607354.8362,37860.00278531158,14.411361668564757,2928720074752.421,341470.259741396
9.1,0.685977226979357,1147812796445.4832,42564.67437879702,14.484152473935266,3973780915554.807,383904.1674736072
9.2,0.6819770770941319,1557389053485.6987,47853.97178248269,14.556556968268149,5391752834610.25,431611.1228978736
9.3,0.678102696054876,2113115197380.7861,53800.54349715381,14.628640279905978,7315702412211.927,485246.3810554763
9.4,0.6743583981225338,2867142174530.9004,60486.06568637386,14.700468929795369,9926178633503.584,545546.622226793
9.5,0.6707487890978994,3890230054264.507,68002.36399860696,14.772110895071432,13468156126710.14,613340.0702350915
9.6,0.6672787892472694,5278388358114.422,76452.67479251476,14.84363567553802,18274024289789.58,689557.8681008805
9.7,0.6639536579791806,7161885870614.785,85953.06308836218,14.91511436323843,24794779671550.047,775246.8672914712
9.8,0.6607790204877738,9717475438286.043,96634.01672109071,14.986619715305109,33642348790365.14,871584.0062260618
9.9,0.6577608965793708,13184980967252.682,108642.23859075436,15.05822623030586,45647013086033.555,979892.4755251328
10.0,0.6549057319315453,17889803191257.504,122142.66162687948,15.130010228310564,61935324928123.01,1101659.892033867
