window_size,dp_x,dp_xy,J
1,-1.05,-0.2,0.9035696226067101
1,-1.05,-0.16666666666666666,0.8401451808170401
1,-1.05,-0.13333333333333333,0.7781360401553241
1,-1.05,-0.1,0.7176870671515186
1,-1.05,-0.06666666666666667,0.6589528602562902
1,-1.05,-0.03333333333333333,0.6020983986158825
1,-1.05,0.0,0.5472997369969541
1,-1.05,0.03333333333333333,0.49474475044610494
1,-1.05,0.06666666666666667,0.44463393257534306
1,-1.05,0.1,0.3971812517002344
1,-1.05,0.13333333333333333,0.3526150694248155
1,-1.05,0.16666666666666666,0.3111791266699935
1,-1.05,0.2,0.27313360258370967
1,-1.05,0.23333333333333334,0.238756252255852
1,-1.05,0.26666666666666666,0.20834362969335368
1,-1.05,0.3,0.1822124030963058
1,-1.05,0.3333333333333333,0.16070077012007083
