param,window_size,window,t,v,w,is_node
wrong,25,1,5.8,-1.6487248102019896,0.1288062451993271,false
wrong,25,1,5.9,-1.642026979458075,0.11919621996418982,false
wrong,25,1,6.0,-1.635330205183094,0.10971805368548607,false
wrong,25,1,6.1,-1.6286342623197043,0.10037077078822255,false
wrong,25,1,6.2,-1.6219389197636058,0.091153404941905,false
wrong,25,1,6.3,-1.6152439402838876,0.08206499904851831,false
wrong,25,1,6.4,-1.6085490804144478,0.07310460523146026,false
wrong,25,1,6.5,-1.6018540903196743,0.06427128482567199,false
wrong,25,1,6.6,-1.595158713636862,0.05556410836918041,false
wrong,25,1,6.7,-1.588462687297263,0.046982155596246473,false
wrong,25,1,6.8,-1.581765741327197,0.03852451543229623,false
wrong,25,1,6.9,-1.575067598630251,0.030190285990799707,false
wrong,25,1,7.0,-1.5683679747512678,0.02197857457225303,false
wrong,25,1,7.1,-1.5616665776225567,0.013888497665413117,false
wrong,25,1,7.2,-1.5549631072925116,0.005919180950930436,false
wrong,25,1,7.3,-1.5482572556366296,-0.0019302406924766782,false
wrong,25,1,7.4,-1.5415487060507438,-0.009660623179162617,false
wrong,25,1,7.5,-1.5348371331261264,-0.017272813204865435,false
wrong,25,1,7.6,-1.528122202305982,-0.024767648232040272,false
wrong,25,1,7.7,-1.521403569522711,-0.03214595647206411,false
wrong,25,1,7.8,-1.514680880815217,-0.039408556864155016,false
wrong,25,1,7.9,-1.5079537719254008,-0.04655625905084333,false
wrong,25,1,8.0,-1.5012218678728833,-0.053589863349825004,false
wrong,25,1,8.1,-1.4944847825068792,-0.06051016072201913,false
wrong,25,1,8.2,-1.4877421180340409,-0.0673179327356428,false
wrong,25,1,8.3,-1.480993464520968,-0.0740139515261062,false
wrong,25,1,8.4,-1.4742383993699737,-0.08059897975152026,false
wrong,25,1,8.5,-1.4674764867665662,-0.08707377054359658,false
wrong,25,1,8.6,-1.4607072770969851,-0.09343906745370689,false
wrong,25,1,8.7,-1.453930306333995,-0.09969560439385487,false
wrong,25,1,8.8,-1.4471450953889957,-0.10584410557229763,false
wrong,25,1,8.9,-1.4403511494283607,-0.11188528542353844,false
wrong,25,1,9.0,-1.4335479571517515,-0.1178198485323932,false
wrong,25,1,9.1,-1.426734990029981,-0.12364848955181505,false
wrong,25,1,9.2,-1.4199117014998155,-0.12937189311414013,false
wrong,25,1,9.3,-1.4130775261128996,-0.1349907337353951,false
wrong,25,1,9.4,-1.406231878635776,-0.14050567571228356,false
wrong,25,1,9.5,-1.399374153097732,-0.14591737301144123,false
wrong,25,1,9.6,-1.3925037217829546,-0.15122646915052299,false
wrong,25,1,9.7,-1.385619934163195,-0.15643359707065385,false
wrong,25,1,9.8,-1.3787221157668503,-0.16153937899974316,false
wrong,25,1,9.9,-1.3718095669800363,-0.1665444263061264,false
wrong,25,1,10.0,-1.3648815617748786,-0.17144933934196036,false
wrong,25,1,10.1,-1.3579373463598587,-0.1762547072757563,false
wrong,25,1,10.2,-1.3509761377466318,-0.18096110791339112,false
wrong,25,1,10.3,-1.3439971222272753,-0.185569107506888,false
wrong,25,1,10.4,-1.3369994537554257,-0.19007926055020544,false
wrong,25,1,10.5,-1.3299822522242142,-0.19449210956121704,false
wrong,25,1,10.6,-1.3229446016333108,-0.19880818484900245,false
wrong,25,1,10.7,-1.3158855481367362,-0.20302800426550294,false
wrong,25,1,10.8,-1.3088040979623747,-0.20715207294052243,false
wrong,25,1,10.9,-1.3016992151933446,-0.21118088299897547,false
wrong,25,1,11.0,-1.2945698194005069,-0.21511491325919752,false
wrong,25,1,11.1,-1.287414783114454,-0.2189546289110394,false
wrong,25,1,11.2,-1.2802329291242716,-0.22270048117236513,false
wrong,25,1,11.3,-1.2730230275892165,-0.226352906922461,false
wrong,25,1,11.4,-1.2657837929481972,-0.22991232831074213,false
wrong,25,1,11.5,-1.2585138806105372,-0.23337915233900958,false
wrong,25,1,11.6,-1.2512118834099726,-0.23675377041536538,false
wrong,25,1,11.7,-1.243876327802133,-0.240036557877734,false
wrong,25,1,11.8,-1.236505669783871,-0.24322787348476396,false
wrong,25,1,11.9,-1.2290982905107322,-0.2463280588716921,false
