t,v,w,J11_prefix,J12_prefix,J21_prefix,J22_prefix,J11_fixed,J12_fixed,J21_fixed,J22_fixed,J11_exact,eig_re1_prefix,eig_im1_prefix,eig_re2_prefix,eig_im2_prefix,eig_re1_fixed,eig_im1_fixed,eig_re2_fixed,eig_im2_fixed,trace_prefix,trace_fixed,det_prefix,det_fixed
84.25,-1.632555402860461,0.2627607724485962,1.0,-1.0,0.08,-0.064,-1.6652371434088815,-1.0,0.08,-0.064,-1.6652371434088815,0.91858184606129,0.0,0.017418153938710032,0.0,-0.11562584987193941,0.0,-1.613611293536942,0.0,0.9359999999999999,-1.7292371434088816,0.016,0.18657517717816843
84.5,-1.6187972231210157,0.24022424121880695,1.0,-1.0,0.08,-0.064,-1.6205044495843115,-1.0,0.08,-0.064,-1.6205044495843115,0.91858184606129,0.0,0.017418153938710032,0.0,-0.11721669090851214,0.0,-1.5672877586757994,0.0,0.9359999999999999,-1.6845044495843116,0.016,0.18371228477339593
84.75,-1.6050546694926453,0.21831824081838383,1.0,-1.0,0.08,-0.064,-1.5762004920601447,-1.0,0.08,-0.064,-1.5762004920601447,0.91858184606129,0.0,0.017418153938710032,0.0,-0.11889586637551262,0.0,-1.521304625684632,0.0,0.9359999999999999,-1.6402004920601447,0.016,0.18087683149184927
85.0,-1.5913259691709314,0.19703247050098824,1.0,-1.0,0.08,-0.064,-1.5323183401578042,-1.0,0.08,-0.064,-1.5323183401578042,0.91858184606129,0.0,0.017418153938710032,0.0,-0.12067139379733531,0.0,-1.475646946360469,0.0,0.9359999999999999,-1.5963183401578043,0.016,0.17806837377009946
85.25,-1.5776092672408961,0.17635682900143235,1.0,-1.0,0.08,-0.064,-1.488851000084357,-1.0,0.08,-0.064,-1.488851000084357,0.91858184606129,0.0,0.017418153938710032,0.0,-0.12255235247428206,0.0,-1.430298647610075,0.0,0.9359999999999999,-1.552851000084357,0.016,0.17528646400539885
85.5,-1.5639026203278055,0.15628141306064966,1.0,-1.0,0.08,-0.064,-1.4457914058681762,-1.0,0.08,-0.064,-1.4457914058681762,0.91858184606129,0.0,0.017418153938710032,0.0,-0.12454907421875365,0.0,-1.3852423316494225,0.0,0.9359999999999999,-1.5097914058681763,0.016,0.17253064997556328
85.75,-1.5502039896023891,0.1367965161063887,1.0,-1.0,0.08,-0.064,-1.4031324093791637,-1.0,0.08,-0.064,-1.4031324093791637,0.91858184606129,0.0,0.017418153938710032,0.0,-0.12667337851480243,0.0,-1.3404590308643614,0.0,0.9359999999999999,-1.4671324093791638,0.016,0.16980047420026648
86.0,-1.5365112330816215,0.11789262710052763,1.0,-1.0,0.08,-0.064,-1.3608667693860053,-1.0,0.08,-0.064,-1.3608667693860053,0.91858184606129,0.0,0.017418153938710032,0.0,-0.1289388651091221,0.0,-1.295927904276883,0.0,0.9359999999999999,-1.4248667693860053,0.016,0.16709547324070434
86.25,-1.522822097151854,0.09956042956504618,1.0,-1.0,0.08,-0.064,-1.3189871395739705,-1.0,0.08,-0.064,-1.3189871395739705,0.91858184606129,0.0,0.017418153938710032,0.0,-0.13136128172994588,0.0,-1.2516258578440245,0.0,0.9359999999999999,-1.3829871395739706,0.016,0.1644151769327341
86.5,-1.5091342072273437,0.08179080080009205,1.0,-1.0,0.08,-0.064,-1.277486055423703,-1.0,0.08,-0.064,-1.277486055423703,0.91858184606129,0.0,0.017418153938710032,0.0,-0.13395899136488207,0.0,-1.2075270640588212,0.0,0.9359999999999999,-1.3414860554237031,0.016,0.16175910754711698
