seed,kappa_from,kappa_to,s,J_next,J_prev
2,4,5,0.05,0.023592248572922442,0.015951187225051296
2,4,5,0.1,0.02318064771802185,0.015938055349719406
2,4,5,0.15,0.022791327113798297,0.015939080186023868
2,4,5,0.2,0.022423962530584415,0.01595417307676856
2,4,5,0.25,0.022078405516973633,0.01598342133462422
2,4,5,0.3,0.021754586119546553,0.016026991979470096
2,4,5,0.35,0.021452470539319545,0.01608509036557529
2,4,5,0.4,0.021172045545310055,0.016157945506089007
2,4,5,0.45,0.020913313519566948,0.016245805957357286
2,4,5,0.5,0.020676291317149924,0.01634893943586358
2,4,5,0.55,0.02046101090636579,0.016467634123576144
2,4,5,0.6,0.020267521468183555,0.016602201332280322
2,4,5,0.65,0.020095892631422096,0.016752979196327768
2,4,5,0.7,0.019946217525283347,0.016920336069398266
2,4,5,0.75,0.019818612973850014,0.017104670945088565
2,4,5,0.8,0.019713213739244815,0.017306407804382636
2,4,5,0.85,0.01963015961774689,0.017525982691800272
2,4,5,0.9,0.019569576434047213,0.017763824564034837
2,4,5,0.95,0.01953154895119104,0.01802032792835746
2,4,5,1.0,0.019516080251137262,0.018295811826528813
2,5,6,0.0,0.11317987270134314,0.019516080251137262
2,5,6,0.05,0.10585439136484417,0.01957605837992494
2,5,6,0.1,0.09817729569101193,0.019750319098873648
2,5,6,0.15,0.09027361393332617,0.02004791479948086
2,5,6,0.2,0.08231858215651672,0.020481365027109094
2,5,6,0.25,0.07453002171830897,0.021074960733725848
2,5,6,0.3,0.06712067927570695,0.02184882633535237
2,5,6,0.35,0.06024998584322962,0.022810358891710902
2,5,6,0.4,0.054019089132301246,0.023980715404679977
2,5,6,0.45,0.04845471300965298,0.02538678825546238
2,5,6,0.5,0.04352480733376585,0.027059096189441616
2,5,6,0.55,0.039169867507992236,0.029031305720453933
2,5,6,0.6,0.035331737151556054,0.03133949938109302
2,5,6,0.65,0.031969903782947964,0.034021076311483975
2,5,6,0.7,0.029064643097055295,0.03711326676070128
2,5,6,0.75,0.026611714084355816,0.040651204453314674
2,5,6,0.8,0.024614086280366123,0.04466556376454965
2,5,6,0.85,0.023074654977967433,0.04917993964988436
2,5,6,0.9,0.021991933588075184,0.05420830907301855
2,5,6,0.95,0.021359108599609974,0.0597530060614956
2,5,6,1.0,0.021165825622676028,0.06580367496801698
2,6,8,0.0,0.11901568979230918,0.021165825622676028
2,6,8,0.05,0.11164283044380334,0.02128873142630383
2,6,8,0.1,0.10439024432373131,0.021733985650954774
2,6,8,0.15,0.0972535354214477,0.02250550803278164
2,6,8,0.2,0.090229218839829,0.023604477443221347
2,6,8,0.25,0.08331746677090453,0.02502886875255484
2,6,8,0.3,0.07652507284158122,0.02677392124170927
2,6,8,0.35,0.06986813040904187,0.028833648773805603
2,6,8,0.4,0.06337384403489636,0.031203259088982936
2,6,8,0.45,0.05708092325013344,0.03388203779386304
2,6,8,0.5,0.0510382159422608,0.03687593733819493
2,6,8,0.55,0.04530165089392994,0.04019887677061326
2,6,8,0.6,0.03993008416493619,0.043871698787002505
2,6,8,0.65,0.034981112680981474,0.04791800586251968
2,6,8,0.7,0.030508191444361035,0.05235692283309464
2,6,8,0.75,0.02656030264406019,0.057194155016675435
2,6,8,0.8,0.023184760876289928,0.06241393272982394
2,6,8,0.85,0.02043246457292444,0.06797471431526984
2,6,8,0.9,0.0183633800084903,0.07381043248647125
2,6,8,0.95,0.017049066740121077,0.07983704789219712
2,6,8,1.0,0.016569641191403348,0.08596229980115185
2,8,10,0.0,0.022114416129207594,0.016569641191403348
2,8,10,0.05,0.02124931564576927,0.016580314615487136
2,8,10,0.1,0.020440741155326042,0.016668009898913632
2,8,10,0.15,0.01968737409076389,0.016832305253701402
2,8,10,0.2,0.018987858279777104,0.01707275419474484
2,8,10,0.25,0.018340807251780653,0.017388878233654648
2,8,10,0.3,0.017744811527364124,0.0177801602113303
2,8,10,0.35,0.017198445773843444,0.018246038401674502
2,8,10,0.4,0.016700275727955308,0.018785901498521856
2,8,10,0.45,0.016248864807747426,0.019399084578421537
2,8,10,0.5,0.015842780364996825,0.020084866119357378
2,8,10,0.55,0.015480599583452818,0.02084246616732558
2,8,10,0.6,0.015160915159252268,0.02167104583243821
2,8,10,0.65,0.014882341271577906,0.0225697086284552
2,8,10,0.7,0.014643521467018437,0.023537505248262106
2,8,10,0.75,0.014443143439003102,0.024573446692489512
2,8,10,0.8,0.014279975320626335,0.025676540276322504
2,8,10,0.85,0.014152961049835874,0.026845885955808176
2,8,10,0.9,0.014061430381947404,0.028080888411543783
2,8,10,0.95,0.01400528500917022,0.029381446198143025
2,8,10,1.0,0.013984382421377724,0.0307473394333707
2,10,12,0.0,0.06913715943727156,0.013984382421377724
2,10,12,0.05,0.06475311829829206,0.014009386187431076
2,10,12,0.1,0.060509989965830194,0.014074025776409378
2,10,12,0.15,0.05640848236913297,0.014175661837480808
2,10,12,0.2,0.05244868626651383,0.014311919398175391
2,10,12,0.25,0.048630753974319256,0.014480656807797374
2,10,12,0.3,0.044955773233982824,0.01467994311197336
2,10,12,0.35,0.041426739076959644,0.01490804034601774
2,10,12,0.4,0.038049487356855,0.015163388734446325
2,10,12,0.45,0.03483342622716453,0.015444593767692472
2,10,12,0.5,0.03179189957662049,0.01575041464806255
2,10,12,0.55,0.0289420526890519,0.01607975384963603
2,10,12,0.6,0.026304152321203464,0.01643164765339558
2,10,12,0.65,0.023900434746605585,0.016805257570579307
2,10,12,0.7,0.021753692170718684,0.017199862589310926
2,10,12,0.75,0.0198859213333149,0.017614852188657364
2,10,12,0.8,0.018317404820232495,0.01804972006806662
2,10,12,0.85,0.01706654282942522,0.018504058542062135
