exp,arm,seed,mode,optimizer,iters,gamma,S,penalty,noise,schedule,radius,n_steps,window_size,J,p_err,score,support_recall,false_positives,wall_s,f_calls,iterations,converged,blowup,seed_p_err
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,15,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002589225769042969,24,0,true,true,1.840755564960906
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,20,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026106834411621094,24,0,true,true,1.840755564960906
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,25,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002589225769042969,24,0,true,true,1.840755564960906
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,33,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002601146697998047,24,0,true,true,1.840755564960906
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,50,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026297569274902344,24,0,true,true,1.840755564960906
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,75,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002598762512207031,24,0,true,true,1.840755564960906
main,reset,1,reset,nm,2500,0.05,10,flat,0.05,full,nan,16,100,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026297569274902344,24,0,true,true,1.840755564960906
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,1,0.018331861969618377,0.32025130943070534,0.65,0.5714285714285714,4,1.7415480613708496,3096,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,2,0.020209002497784914,0.0877883652793388,0.95,0.7142857142857143,0,1.811547040939331,3207,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,3,0.01850922335845975,0.21711075799898072,0.85,0.7142857142857143,1,1.8354599475860596,3248,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,4,0.014902416807077599,0.16746615650954846,0.9,0.8571428571428571,1,1.8145530223846436,3224,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,5,0.018359699538414723,0.13889561999624653,0.8,0.8571428571428571,1,1.842458963394165,3246,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,6,0.021114806101986544,0.22259500318766662,0.6,0.8571428571428571,6,1.827558994293213,3245,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,8,0.016731066253955325,0.25306122599186615,0.8,0.8571428571428571,4,1.7995250225067139,3181,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,10,0.014720658933503815,0.26117128155724734,0.85,0.8571428571428571,2,1.837989091873169,3251,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,12,0.015672614906871368,0.23685030227555995,0.8,0.8571428571428571,3,1.840709924697876,3276,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,15,0.014136939609439434,0.35947150528327054,0.7,0.8571428571428571,3,1.8486778736114502,3282,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,20,0.015201630696910677,0.27621087843093434,0.8,0.8571428571428571,2,1.8322691917419434,3243,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,25,0.013374176796792325,0.3900418703569285,0.85,0.8571428571428571,1,1.883091926574707,3335,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,33,0.013639141315899208,0.42164924021390116,0.85,0.8571428571428571,1,1.8625199794769287,3305,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,50,0.013241253700899652,0.42903828310751957,0.85,0.8571428571428571,1,2.000516891479492,3554,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,75,0.012896859628977474,0.41507287062692194,0.8,0.8571428571428571,2,2.038115978240967,3620,2500,false,false,1.6514587340395241
penalty,propagate_graded,5,propagate,nm,2500,0.05,10,graded,0.05,full,nan,16,100,0.012810967427572685,0.40816635320337064,0.8,0.8571428571428571,2,2.0855400562286377,3703,2500,false,false,1.6514587340395241
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,1,1000.0,1.840755564960906,0.2,0.7142857142857143,9,1.416701078414917,1,0,true,true,1.840755564960906
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,2,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002779960632324219,1,0,true,true,1.840755564960906
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,3,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002548694610595703,1,0,true,true,1.840755564960906
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,4,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00025391578674316406,1,0,true,true,1.840755564960906
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,5,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002560615539550781,1,0,true,true,1.840755564960906
optimizer,bfgs_propagate,1,propagate,bfgs,2500,0.05,10,flat,0.05,full,nan,16,6,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002570152282714844,1,0,true,true,1.840755564960906
