window_size,dp_x2,dp_xy,J
1,-0.5775,-0.910625,3.0213076344799474
1,-0.5775,-0.89625,2.9952807736916793
1,-0.5775,-0.881875,2.9692146138683184
1,-0.5775,-0.8675,2.9431104969273907
1,-0.5775,-0.853125,2.9169698009197633
1,-0.5775,-0.83875,2.8907939407624905
1,-0.5775,-0.824375,2.8645843689852883
1,-0.5775,-0.81,2.8383425764909562
1,-0.5775,-0.795625,2.812070093329894
1,-0.5775,-0.78125,2.785768489489076
1,-0.5775,-0.766875,2.7594393756956466
1,-0.5775,-0.7525,2.7330844042354276
1,-0.5775,-0.738125,2.7067052697866383
1,-0.5775,-0.72375,2.680303710269009
1,-0.5775,-0.709375,2.653881507708667
1,-0.5775,-0.695,2.62744048911897
1,-0.5775,-0.680625,2.600982527397651
1,-0.5775,-0.66625,2.5745095422405067
1,-0.5775,-0.651875,2.54802350107195
1,-0.5775,-0.6375,2.5215264199927008
1,-0.5775,-0.623125,2.4950203647449447
1,-0.5775,-0.60875,2.468507451695239
1,-0.5775,-0.594375,2.441989848835486
1,-0.5775,-0.58,2.4154697768023023
1,-0.5775,-0.565625,2.3889495099150837
1,-0.5775,-0.55125,2.362431377233126
1,-0.5775,-0.536875,2.335917763632079
1,-0.5775,-0.5225,2.3094111109001516
1,-0.5775,-0.508125,2.2829139188543324
1,-0.5775,-0.49375,2.2564287464770354
1,-0.5775,-0.479375,2.2299582130734974
1,-0.5775,-0.465,2.2035049994502782
1,-0.5775,-0.450625,2.177071849115289
1,-0.5775,-0.43625,2.1506615694996456
1,-0.5775,-0.421875,2.1242770332017833
1,-0.5775,-0.4075,2.097921179254215
1,-0.5775,-0.393125,2.071597014413277
1,-0.5775,-0.37875,2.045307614472362
1,-0.5775,-0.364375,2.0190561255989214
1,-0.5775,-0.35,1.9928457656957588
1,-0.5775,-0.335625,1.966679825786988
1,-0.5775,-0.32125,1.940561671429068
1,-0.5775,-0.306875,1.9144947441474085
1,-0.5775,-0.2925,1.8884825628989141
1,-0.5775,-0.278125,1.862528725560992
1,-0.5775,-0.26375,1.836636910447431
1,-0.5775,-0.249375,1.8108108778516327
1,-0.5775,-0.235,1.7850544716176866
1,-0.5775,-0.220625,1.7593716207397456
1,-0.5775,-0.20625,1.7337663409902115
1,-0.5775,-0.191875,1.7082427365772104
1,-0.5775,-0.1775,1.6828050018319103
1,-0.5775,-0.163125,1.6574574229261214
1,-0.5775,-0.14875,1.6322043796207992
1,-0.5775,-0.134375,1.6070503470458946
1,-0.5775,-0.12,1.5819998975121656
1,-0.5775,-0.105625,1.5570577023554648
1,-0.5775,-0.09125,1.5322285338140753
1,-0.5775,-0.076875,1.5075172669396812
1,-0.5775,-0.0625,1.4829288815425277
1,-0.5775,-0.048125,1.4584684641714027
1,-0.5775,-0.03375,1.4341412101290034
1,-0.5775,-0.019375,1.4099524255233358
1,-0.5775,-0.005,1.3859075293557488
1,-0.5775,0.009375,1.3620120556462565
1,-0.5775,0.02375,1.3382716555967877
1,-0.5775,0.038125,1.314692099793012
1,-0.5775,0.0525,1.2912792804454465
1,-0.5775,0.066875,1.2680392136704821
1,-0.5775,0.08125,1.2449780418120586
1,-0.5775,0.095625,1.2221020358046806
1,-0.5775,0.11,1.199417597578501
1,-0.5775,0.124375,1.1769312625072006
1,-0.5775,0.13875,1.1546497018994126
1,-0.5775,0.153125,1.1325797255344525
1,-0.5775,0.1675,1.110728284243129
1,-0.5775,0.181875,1.089102472534424
1,-0.5775,0.19625,1.0677095312688372
1,-0.5775,0.210625,1.046556850379225
1,-0.5775,0.225,1.025651971639961
1,-0.5775,0.239375,1.0050025914852618
1,-0.5775,0.25375,0.9846165638775459
1,-0.5775,0.268125,0.9645019032267129
1,-0.5775,0.2825,0.94466678736122
1,-0.5775,0.296875,0.9251195605518948
1,-0.5775,0.31125,0.9058687365893984
1,-0.5775,0.325625,0.8869230019162856
1,-0.5775,0.34,0.8682912188146398
1,-0.5775,0.354375,0.8499824286502626
1,-0.5775,0.36875,0.8320058551744192
1,-0.5775,0.383125,0.8143709078841663
1,-0.5775,0.3975,0.7970871854423061
1,-0.5775,0.411875,0.7801644791580248
1,-0.5775,0.42625,0.7636127765293083
1,-0.5775,0.440625,0.7474422648482328
1,-0.5775,0.455,0.731663334870269
1,-0.5775,0.469375,0.7162865845524471
1,-0.5775,0.48375,0.7013228277688659
1,-0.5775,0.498125,0.6867885811863228
