plane,window_size,f_blow,basin,J_min,J_max
v_w3,12,0.0,0.0013437248051599033,0.03316739470568878,11.7362585811695
v_w3,15,0.0,0.0008062348830959419,0.02224764669442469,15.932615205339081
v_w3,20,0.0,0.0016124697661918839,0.01940981575471948,7.878582611190721
v_w3,25,0.02929320075248587,0.0008062348830959419,0.020700188701984125,84.98011411063898
v_w3,33,0.11959150765923143,0.0005374899220639613,0.02275075821180186,32.55567467616176
v_w3,50,0.02741198602526207,0.0005374899220639613,0.022970185374233794,247.9018291350061
v_w3,75,0.09594195108841708,0.0005374899220639613,0.016796329228972662,86.96630689464345
v_w3,100,0.12577264176296699,0.0002687449610319806,0.017576201469118733,28.981993071204897
w_w3,1,0.0,0.08062348830959419,0.01768624893550709,1.512632934306127
w_w3,2,0.0,0.028218220908357967,0.02047167002118807,1.873352251317907
w_w3,3,0.0,0.01961838215533459,0.020308647650279184,2.1818549978078465
w_w3,4,0.0,0.006181134103735555,0.01616425030106963,3.114221442673267
w_w3,5,0.0,0.0083310937919914,0.020895430727674334,3.8111883048506945
w_w3,6,0.0,0.005106154259607632,0.05778821918113641,4.330931159973387
w_w3,8,0.0,0.0016124697661918839,0.021357946181926393,5.873710995630112
w_w3,10,0.0,0.002418704649287826,0.01543365226590483,7.735487388652552
w_w3,12,0.0,0.0018812147272238647,0.022199531691223302,9.6703611799137
w_w3,15,0.0,0.0008062348830959419,0.015530267437326318,13.633751876498707
w_w3,20,0.0,0.0032249395323837677,0.018799582661245214,15.81249499518998
w_w3,25,0.025799516259070177,0.0013437248051599033,0.020700188701984125,26.77318494591545
w_w3,33,0.11341037355549588,0.0013437248051599033,0.02275075821180186,592.9179783057567
w_w3,50,0.05025530771298037,0.0010749798441279225,0.022615150277081747,22.394463650377144
w_w3,75,0.12281644719161511,0.0008062348830959419,0.016796329228972662,39.68808603871813
w_w3,100,0.14673474872346148,0.0005374899220639613,0.017576201469118733,51.52519619659135
v2_v2w,1,0.0,0.035474334856221444,0.01773109828394226,5.6554011985361266
v2_v2w,2,0.0,0.02418704649287826,0.020915482849303117,8.03963805884571
v2_v2w,3,0.0,0.013974737973662993,0.021600168216777987,9.478325818538575
v2_v2w,4,0.00026874496103201917,0.005912389142703574,0.01684304077998691,12.591614774343062
v2_v2w,5,0.008062348830959465,0.0067186240257995165,0.020895430727674334,17.509416470063247
v2_v2w,6,0.029830690674549798,0.0064498790647675355,0.06449220304440027,331.78533762704063
v2_v2w,8,0.07739854877721042,0.0016124697661918839,0.019321330120530396,130.3946306540304
v2_v2w,10,0.11475409836065575,0.0018812147272238647,0.01543365226590483,48.20931421463743
v2_v2w,12,0.15318462778822894,0.0018812147272238647,0.02214935682868552,20.995439803164885
v2_v2w,15,0.18650900295619455,0.0013437248051599033,0.017982285097986803,74.10823861833434
v2_v2w,20,0.17656543939801128,0.007256113947863478,0.018285322777526713,670.1154834682753
v2_v2w,25,0.24563289438323033,0.0013437248051599033,0.014443610769901643,35.42770742201639
v2_v2w,33,0.2886320881483472,0.00429991937651169,0.021844397661316947,582.9563492679206
v2_v2w,50,0.29320075248589084,0.0010749798441279225,0.016229672943782657,56.364463966834855
v2_v2w,75,0.2657887664606289,0.002149959688255845,0.016796329228972662,59.437190526108274
v2_v2w,100,0.2875571083042193,0.0018812147272238647,0.017576201469118733,87.94234553913891
