window_size,dp_v,dp_v3,J
1,-1.35,0.1125,0.7245055504496897
1,-1.35,0.15,0.6886287009731231
1,-1.35,0.1875,0.6499093702662104
1,-1.35,0.225,0.6080601690632752
1,-1.35,0.2625,0.5628852176862308
1,-1.35,0.3,0.5145171038137013
1,-1.35,0.3375,0.46415609832842564
1,-1.35,0.375,0.4166965081483432
1,-1.35,0.4125,0.3923662983483982
1,-1.35,0.45,0.5608907114446255
1,-1.35,0.4875,1000.0
1,-1.35,0.525,1000.0
1,-1.35,0.5625,1000.0
1,-1.35,0.6,1000.0
1,-1.35,0.6375,1000.0
1,-1.35,0.675,1000.0
1,-1.35,0.7125,1000.0
1,-1.35,0.75,1000.0
1,-1.35,0.7875,1000.0
1,-1.35,0.825,1000.0
1,-1.35,0.8625,1000.0
1,-1.35,0.9,1000.0
1,-1.35,0.9375,1000.0
1,-1.35,0.975,1000.0
1,-1.35,1.0125,1000.0
1,-1.35,1.05,1000.0
1,-1.35,1.0875,1000.0
1,-1.35,1.125,1000.0
1,-1.35,1.1625,1000.0
1,-1.35,1.2,1000.0
1,-1.35,1.2375,1000.0
1,-1.35,1.275,1000.0
1,-1.35,1.3125,1000.0
1,-1.35,1.35,1000.0
1,-1.35,1.3875,1000.0
1,-1.35,1.425,1000.0
1,-1.35,1.4625,1000.0
1,-1.35,1.5,1000.0
1,-1.3125,-1.5,1.3236825781145931
1,-1.3125,-1.4625,1.3170135613723275
1,-1.3125,-1.425,1.3101505981381132
1,-1.3125,-1.3875,1.303093980240731
1,-1.3125,-1.35,1.2958409997764264
1,-1.3125,-1.3125,1.288387365591919
1,-1.3125,-1.275,1.2807278160619735
1,-1.3125,-1.2375,1.2728563738472976
1,-1.3125,-1.2,1.2647664418659912
1,-1.3125,-1.1625,1.256450824088842
1,-1.3125,-1.125,1.2479017066713876
1,-1.3125,-1.0875,1.2391106152375866
1,-1.3125,-1.05,1.230068355856592
1,-1.3125,-1.0125,1.2207649435873442
1,-1.3125,-0.975,1.2111895206744343
1,-1.3125,-0.9375,1.2013302654456524
1,-1.3125,-0.9,1.1911742922206947
1,-1.3125,-0.8625,1.1807075418998005
1,-1.3125,-0.825,1.169914662287215
1,-1.3125,-0.7875,1.1587788765937075
1,-1.3125,-0.75,1.147281837948296
1,-1.3125,-0.7125,1.1354034671258924
1,-1.3125,-0.675,1.1231217700519658
1,-1.3125,-0.6375,1.1104126309556586
1,-1.3125,-0.6,1.0972495762778143
1,-1.3125,-0.5625,1.0836035035603933
1,-1.3125,-0.525,1.0694423685015308
1,-1.3125,-0.4875,1.0547308221014038
1,-1.3125,-0.45,1.0394297882862498
1,-1.3125,-0.4125,1.0234959705124111
1,-1.3125,-0.375,1.0068812735445911
1,-1.3125,-0.3375,0.9895321237982804
1,-1.3125,-0.3,0.971388668274683
1,-1.3125,-0.2625,0.9523838281809025
1,-1.3125,-0.225,0.9324421789114993
1,-1.3125,-0.1875,0.911478623505412
