window_size,dp_xy_x,dp_xy_y,J
1,-0.975,0.13,1.518363858816754
1,-0.975,0.14,1.5339292333624064
1,-0.975,0.15,1.5499246707705097
1,-0.975,0.16,1.5663551868467542
1,-0.975,0.17,1.583225817503795
1,-0.975,0.18,1.6005416182232282
1,-0.975,0.19,1.618307663508109
1,-0.975,0.2,1.6365290463261213
1,-0.975,0.21,1.6552108775435268
1,-0.975,0.22,1.6743582853500287
1,-0.975,0.23,1.6939764146746548
1,-0.975,0.24,1.7140704265928506
1,-0.975,0.25,1.7346454977248742
1,-0.975,0.26,1.7557068196256744
1,-0.975,0.27,1.777259598166403
1,-0.975,0.28,1.799309052907739
1,-0.975,0.29,1.8218604164651522
1,-0.975,0.3,1.844918933866323
1,-0.975,0.31,1.8684898619008836
1,-0.975,0.32,1.892578468462649
1,-0.975,0.33,1.9171900318845572
1,-0.975,0.34,1.9423298402664853
1,-0.975,0.35,1.9680031907961766
1,-0.975,0.36,1.994215389063433
1,-0.975,0.37,2.020971748367841
1,-0.975,0.38,2.0482775890202136
1,-0.975,0.39,2.0761382376379705
1,-0.975,0.4,2.1045590264346847
1,-0.975,0.41,2.133545292504038
1,-0.975,0.42,2.1631023770984044
1,-0.975,0.43,2.1932356249022824
1,-0.975,0.44,2.223950383300894
1,-0.975,0.45,2.2552520016440742
1,-0.975,0.46,2.2871458305058314
1,-0.975,0.47,2.319637220939735
1,-0.975,0.48,2.3527315237304425
1,-0.975,0.49,2.386434088641599
1,-0.975,0.5,2.4207502636604046
1,-0.975,0.51,2.455685394239078
1,-0.975,0.52,2.491244822533519
1,-0.975,0.53,2.52743388663943
1,-0.975,0.54,2.564257919826164
1,-0.975,0.55,2.601722249768619
1,-0.975,0.56,2.6398321977773924
1,-0.975,0.57,2.6785930780275393
1,-0.975,0.58,2.7180101967861874
1,-0.975,0.59,2.7580888516393145
1,-0.975,0.6,2.7988343307179435
1,-0.975,0.61,2.8402519119241125
1,-0.975,0.62,2.882346862156809
1,-0.975,0.63,2.925124436538266
1,-0.975,0.64,2.968589877640836
1,-0.975,0.65,3.012748414714791
1,-0.975,0.66,3.057605262917283
1,-0.975,0.67,3.1031656225428312
1,-0.975,0.68,3.149434678255547
1,-0.975,0.69,3.1964175983234946
1,-0.975,0.7,3.2441195338553555
1,-0.975,0.71,3.29254561803981
1,-0.975,0.72,3.3417009653878345
1,-0.975,0.73,3.3915906709782937
1,-0.975,0.74,3.442219809707004
1,-0.975,0.75,3.493593435539682
1,-0.975,0.76,3.5457165807689757
1,-0.975,0.77,3.5985942552759025
1,-0.975,0.78,3.65223144579596
1,-0.975,0.79,3.706633115190241
1,-0.975,0.8,3.7618042017217066
1,-0.9625,-0.8,1.3383609941025563
1,-0.9625,-0.79,1.331697409103629
1,-0.9625,-0.78,1.3251259831619058
1,-0.9625,-0.77,1.3186488796223395
1,-0.9625,-0.76,1.312268291767483
1,-0.9625,-0.75,1.305986443031405
1,-0.9625,-0.74,1.2998055872107714
1,-0.9625,-0.73,1.2937280086729723
1,-0.9625,-0.72,1.2877560225611728
1,-0.9625,-0.71,1.2818919749961326
1,-0.9625,-0.7,1.2761382432747062
1,-0.9625,-0.69,1.2704972360648503
1,-0.9625,-0.68,1.2649713935970388
1,-0.9625,-0.67,1.2595631878519402
1,-0.9625,-0.66,1.2542751227442148
1,-0.9625,-0.65,1.2491097343023179
1,-0.9625,-0.64,1.2440695908441448
1,-0.9625,-0.63,1.2391572931484185
1,-0.9625,-0.62,1.2343754746216273
1,-0.9625,-0.61,1.229726801460442
1,-0.9625,-0.6,1.2252139728094114
1,-0.9625,-0.59,1.2208397209138315
1,-0.9625,-0.58,1.2166068112676447
1,-0.9625,-0.57,1.2125180427562094
1,-0.9625,-0.56,1.2085762477938204
1,-0.9625,-0.55,1.2047842924558239
1,-0.9625,-0.54,1.2011450766051937
1,-0.9625,-0.53,1.197661534013418
1,-0.9625,-0.52,1.194336632475565
1,-0.9625,-0.51,1.1911733739193693
1,-0.9625,-0.5,1.1881747945082137
1,-0.9625,-0.49,1.1853439647378574
1,-0.9625,-0.48,1.1826839895267613
1,-0.9625,-0.47,1.1801980082998782
1,-0.9625,-0.46,1.1778891950657595
1,-0.9625,-0.45,1.1757607584868572
1,-0.9625,-0.44,1.1738159419428391
1,-0.9625,-0.43,1.172058023586829
1,-0.9625,-0.42,1.1704903163943967
