system,arm,seed,optimizer,window_size,J,p_err,score,support_recall,false_positives,wall_s,f_calls,iterations,converged,blowup,seed_p_err
lorenz,reset,3,bfgs,10,1000.0,31.371860103273352,0.03333333333333333,0.7142857142857143,22,0.0022170543670654297,1,0,true,true,31.371860103273352
lorenz,reset,3,bfgs,25,1000.0,31.371860103273352,0.03333333333333333,0.7142857142857143,22,0.0018591880798339844,1,0,true,true,31.371860103273352
lorenz,reset,3,bfgs,50,1000.0,31.371860103273352,0.03333333333333333,0.7142857142857143,22,0.0018329620361328125,1,0,true,true,31.371860103273352
lorenz,reset,3,bfgs,100,1000.0,31.371860103273352,0.03333333333333333,0.7142857142857143,22,0.0018157958984375,1,0,true,true,31.371860103273352
lv,propagate,1,nm,1,0.02847403928733329,0.35074822604023226,0.8333333333333334,1.0,1,1.7930500507354736,3480,2500,false,false,1.4638749802736217
lv,propagate,1,nm,2,0.028248067689990573,0.0254229315357627,1.0,1.0,0,0.7795059680938721,1894,1357,true,false,1.4638749802736217
lv,propagate,1,nm,5,0.02721350329739309,0.07703791953065572,1.0,1.0,0,0.6035928726196289,1467,1027,true,false,1.4638749802736217
lv,propagate,1,nm,10,0.02675672058333335,0.0444896189510859,1.0,1.0,0,1.0708339214324951,2596,1923,true,false,1.4638749802736217
lv,propagate,1,nm,25,0.0371235727839727,0.2662133215675134,0.8333333333333334,1.0,2,1.2622160911560059,3070,2218,true,false,1.4638749802736217
lv,propagate,1,nm,50,0.023608087895403352,0.37202807289787115,0.5833333333333334,1.0,5,1.6201519966125488,3490,2500,false,false,1.4638749802736217
lv,propagate,1,nm,100,0.02103549225881838,0.40944916518344515,0.75,1.0,2,1.4742372035980225,3578,2500,false,false,1.4638749802736217
lv,propagate,3,nm,1,0.027896664660872997,0.13162446634290956,0.9166666666666666,1.0,1,1.4083189964294434,3404,2500,false,false,1.1433823730525716
lv,propagate,3,nm,2,0.028248042486656126,0.024732829871350445,1.0,1.0,0,0.7999050617218018,1895,1393,true,false,1.1433823730525716
lv,propagate,3,nm,5,0.02721342620460333,0.07719028723238056,1.0,1.0,0,0.5719478130340576,1388,989,true,false,1.1433823730525716
lv,propagate,3,nm,10,0.026756713211954365,0.044323216719776404,1.0,1.0,0,1.154541015625,2806,2089,true,false,1.1433823730525716
lv,propagate,3,nm,25,0.03712350396135952,0.2653621093799365,0.8333333333333334,1.0,2,1.3666200637817383,3319,2414,true,false,1.1433823730525716
lv,propagate,3,nm,50,0.02213976655895547,0.08222817965778792,0.9166666666666666,1.0,1,1.4581379890441895,3554,2500,false,false,1.1433823730525716
lv,propagate,3,nm,100,0.019777849944782787,0.07902614862121332,1.0,1.0,0,1.4338760375976562,3478,2500,false,false,1.1433823730525716
lv,propagate,5,nm,1,0.028082868796997937,0.08532210681299841,1.0,1.0,0,1.4751999378204346,3587,2500,false,false,1.3603817305621866
lv,propagate,5,nm,2,0.028248086560145366,0.023821940334996485,1.0,1.0,0,0.5892829895019531,1423,1023,true,false,1.3603817305621866
lv,propagate,5,nm,5,0.027213660581334696,0.07721370718297109,1.0,1.0,0,0.7249710559844971,1759,1266,true,false,1.3603817305621866
lv,propagate,5,nm,10,0.02675671538239729,0.04431285115252682,1.0,1.0,0,1.197171926498413,2909,2035,true,false,1.3603817305621866
lv,propagate,5,nm,25,0.03712353410789098,0.2647542638589981,0.8333333333333334,1.0,2,1.3019530773162842,3163,2323,true,false,1.3603817305621866
lv,propagate,5,nm,50,0.022256539548359586,0.14340464874636316,0.8333333333333334,1.0,2,1.4655890464782715,3560,2500,false,false,1.3603817305621866
lv,propagate,5,nm,100,0.01992059365153081,0.22488059265016222,0.9166666666666666,1.0,1,1.5213689804077148,3630,2500,false,false,1.3603817305621866
lv,reset,1,nm,1,0.02847403928733329,0.35074822604023226,0.8333333333333334,1.0,1,1.4351849555969238,3480,2500,false,false,1.4638749802736217
lv,reset,1,nm,2,0.029594687592527744,0.34640300334488255,0.75,1.0,2,1.4551401138305664,3531,2500,false,false,1.4638749802736217
lv,reset,1,nm,5,0.030087629424074898,0.5015975599144952,0.6666666666666666,1.0,3,1.4443440437316895,3511,2500,false,false,1.4638749802736217
lv,reset,1,nm,10,0.034354636991291584,1.39730188914855,0.4166666666666667,1.0,6,1.4130029678344727,3437,2500,false,false,1.4638749802736217
lv,reset,1,nm,25,0.08137538101879209,1.21786050953971,0.25,0.75,6,1.4483730792999268,3497,2500,false,false,1.4638749802736217
lv,reset,1,nm,50,0.049676521264859975,0.8482448672248636,0.25,1.0,7,1.380094051361084,3343,2500,false,false,1.4638749802736217
lv,reset,1,nm,100,1000.0,1.4638749802736217,0.16666666666666666,0.5,6,0.003762960433959961,16,0,true,true,1.4638749802736217
lv,reset,3,nm,1,0.027896664660872997,0.13162446634290956,0.9166666666666666,1.0,1,1.4046471118927002,3404,2500,false,false,1.1433823730525716
lv,reset,3,nm,2,0.028251514138551665,0.04171956570387707,1.0,1.0,0,1.1979670524597168,2907,2163,true,false,1.1433823730525716
lv,reset,3,nm,5,0.02721341541870382,0.077466047791134,1.0,1.0,0,1.404905080795288,3411,2477,true,false,1.1433823730525716
lv,reset,3,nm,10,1000.0,1.1433823730525716,0.3333333333333333,0.75,4,0.0012102127075195312,16,0,true,true,1.1433823730525716
lv,reset,3,nm,25,1000.0,1.1433823730525716,0.3333333333333333,0.75,4,0.003818035125732422,16,0,true,true,1.1433823730525716
lv,reset,3,nm,50,1000.0,1.1433823730525716,0.3333333333333333,0.75,4,0.0016798973083496094,16,0,true,true,1.1433823730525716
lv,reset,3,nm,100,1000.0,1.1433823730525716,0.3333333333333333,0.75,4,0.0016791820526123047,16,0,true,true,1.1433823730525716
lv,reset,5,nm,1,0.028082868796997937,0.08532210681299841,1.0,1.0,0,1.4770309925079346,3587,2500,false,false,1.3603817305621866
lv,reset,5,nm,2,0.028315363218853928,0.1201425685746435,0.9166666666666666,1.0,1,1.4151558876037598,3441,2500,false,false,1.3603817305621866
lv,reset,5,nm,5,0.029088575644778698,0.2846030424841017,0.8333333333333334,1.0,2,1.4166748523712158,3448,2500,false,false,1.3603817305621866
lv,reset,5,nm,10,0.028576227095494934,0.20471070769715882,0.9166666666666666,1.0,1,1.4280810356140137,3476,2500,false,false,1.3603817305621866
lv,reset,5,nm,25,0.05151031586474154,0.31603503012803863,0.5833333333333334,1.0,4,1.5433828830718994,3788,2500,false,false,1.3603817305621866
lv,reset,5,nm,50,1000.0,1.3603817305621866,0.3333333333333333,1.0,4,0.002733945846557617,16,0,true,true,1.3603817305621866
lv,reset,5,nm,100,1000.0,1.3603817305621866,0.3333333333333333,1.0,4,0.002306222915649414,16,0,true,true,1.3603817305621866
lorenz,propagate,2,nm,1,0.5603208120439532,27.81045305568838,0.1,0.8571428571428571,20,5.567342042922974,4990,4000,false,false,32.463682339725175
lorenz,propagate,2,nm,2,0.22902848785742178,17.22899997443223,0.3,0.8571428571428571,16,4.840358018875122,4762,4000,false,false,32.463682339725175
lorenz,propagate,2,nm,5,0.2810675498512274,17.882572222424308,0.36666666666666664,1.0,14,4.950620889663696,4888,4000,false,false,32.463682339725175
lorenz,propagate,2,nm,10,0.3145878804792979,17.231323191863176,0.36666666666666664,1.0,14,5.262274980545044,5193,4000,false,false,32.463682339725175
lorenz,propagate,2,nm,25,0.2788373629313961,17.13639859311873,0.4,1.0,14,5.334985971450806,5073,4000,false,false,32.463682339725175
lorenz,propagate,2,nm,50,0.2584509280729085,16.841316679183596,0.3333333333333333,1.0,15,5.134379863739014,5065,4000,false,false,32.463682339725175
