system,arm,seed,optimizer,window_size,index,value
lorenz,propagate,3,nm,5,13,0.34539659729473315
lorenz,propagate,3,nm,5,14,-15.09387282685425
lorenz,propagate,3,nm,5,15,2.5837215483586142
lorenz,propagate,3,nm,5,16,-0.08589672989750981
lorenz,propagate,3,nm,5,17,1.7156632931476032
lorenz,propagate,3,nm,5,18,-0.08118991918064745
lorenz,propagate,3,nm,5,19,0.22510828696958443
lorenz,propagate,3,nm,5,20,22.16012191648834
lorenz,propagate,3,nm,5,21,-0.8288262814929911
lorenz,propagate,3,nm,5,22,-0.6674033126629796
lorenz,propagate,3,nm,5,23,0.5576493242757243
lorenz,propagate,3,nm,5,24,2.652718873315725
lorenz,propagate,3,nm,5,25,-3.594373691911389
lorenz,propagate,3,nm,5,26,0.03820488309693619
lorenz,propagate,3,nm,5,27,1.0578140514590753
lorenz,propagate,3,nm,5,28,-0.043014187633688174
lorenz,propagate,3,nm,5,29,-0.10008470709846862
lorenz,propagate,3,nm,5,30,-0.6118176272623144
lorenz,propagate,3,nm,5,31,0.02035720268776361
lorenz,propagate,3,nm,5,32,1.3248453835547398
lorenz,propagate,3,nm,5,33,-0.26701386200634236
lorenz,propagate,3,nm,10,1,-12.510826259897998
lorenz,propagate,3,nm,10,2,-20.733330988028705
lorenz,propagate,3,nm,10,3,20.737627446589197
lorenz,propagate,3,nm,10,4,-1.319984381205935
lorenz,propagate,3,nm,10,5,0.5978838825523011
lorenz,propagate,3,nm,10,6,-0.030003270575527343
lorenz,propagate,3,nm,10,7,2.7041249450759586
lorenz,propagate,3,nm,10,8,0.22724982691883888
lorenz,propagate,3,nm,10,9,0.20466635215628926
lorenz,propagate,3,nm,10,10,-0.12237856629769006
lorenz,propagate,3,nm,10,11,-0.28605689031422693
lorenz,propagate,3,nm,10,12,-0.47292640338606506
lorenz,propagate,3,nm,10,13,0.2909654802700555
lorenz,propagate,3,nm,10,14,-17.83657714296707
lorenz,propagate,3,nm,10,15,2.536945298241906
lorenz,propagate,3,nm,10,16,-0.07903402390724545
lorenz,propagate,3,nm,10,17,1.4070030031797158
lorenz,propagate,3,nm,10,18,-0.07694211875220712
lorenz,propagate,3,nm,10,19,0.2553455109926652
lorenz,propagate,3,nm,10,20,23.05935357277416
lorenz,propagate,3,nm,10,21,-0.8479102223045559
lorenz,propagate,3,nm,10,22,-0.6672645701881317
lorenz,propagate,3,nm,10,23,0.5055931760081849
lorenz,propagate,3,nm,10,24,2.863273657915051
lorenz,propagate,3,nm,10,25,-3.4165185856710423
lorenz,propagate,3,nm,10,26,0.03089115909400841
lorenz,propagate,3,nm,10,27,1.0440206345420537
lorenz,propagate,3,nm,10,28,-0.04546440375084111
lorenz,propagate,3,nm,10,29,-0.11180255270659147
lorenz,propagate,3,nm,10,30,-0.629727243877142
lorenz,propagate,3,nm,10,31,0.02278748272659488
lorenz,propagate,3,nm,10,32,1.3261381048540835
lorenz,propagate,3,nm,10,33,-0.2568637508337659
lorenz,propagate,3,nm,25,1,-12.497386368556063
lorenz,propagate,3,nm,25,2,-20.676395398597066
lorenz,propagate,3,nm,25,3,20.729980960273693
lorenz,propagate,3,nm,25,4,-2.330605769354003
lorenz,propagate,3,nm,25,5,0.636711415272553
lorenz,propagate,3,nm,25,6,-0.03157619630870976
lorenz,propagate,3,nm,25,7,2.756193662184726
lorenz,propagate,3,nm,25,8,0.2204583776963774
lorenz,propagate,3,nm,25,9,0.15449227248846925
lorenz,propagate,3,nm,25,10,-0.13558109313147942
lorenz,propagate,3,nm,25,11,-0.28322068806712497
lorenz,propagate,3,nm,25,12,-0.4238631145112892
lorenz,propagate,3,nm,25,13,0.3147711391482625
lorenz,propagate,3,nm,25,14,-15.435847202529395
lorenz,propagate,3,nm,25,15,2.534227312350665
lorenz,propagate,3,nm,25,16,-0.0816419326840212
lorenz,propagate,3,nm,25,17,1.288768894196459
lorenz,propagate,3,nm,25,18,-0.06378515797831255
lorenz,propagate,3,nm,25,19,0.1964909234772377
lorenz,propagate,3,nm,25,20,22.742306396787384
lorenz,propagate,3,nm,25,21,-0.8542905886207297
lorenz,propagate,3,nm,25,22,-0.6148673532930106
lorenz,propagate,3,nm,25,23,0.5188820406661426
lorenz,propagate,3,nm,25,24,1.6911644937329509
lorenz,propagate,3,nm,25,25,-3.4354524608473156
lorenz,propagate,3,nm,25,26,0.032287250376412696
lorenz,propagate,3,nm,25,27,1.1269597439786836
lorenz,propagate,3,nm,25,28,-0.043156573207682646
lorenz,propagate,3,nm,25,29,-0.10978377180511587
lorenz,propagate,3,nm,25,30,-0.8488515606693087
lorenz,propagate,3,nm,25,31,0.030346625316402445
lorenz,propagate,3,nm,25,32,1.2956859422071934
lorenz,propagate,3,nm,25,33,-0.2304152348344833
lorenz,propagate,3,nm,50,1,-12.509852054718696
lorenz,propagate,3,nm,50,2,-20.745751917045006
lorenz,propagate,3,nm,50,3,20.681047077039526
lorenz,propagate,3,nm,50,4,-1.6635317084251313
lorenz,propagate,3,nm,50,5,0.598120822457316
lorenz,propagate,3,nm,50,6,-0.031975803188801714
lorenz,propagate,3,nm,50,7,2.8431853129052107
lorenz,propagate,3,nm,50,8,0.2195156033612185
lorenz,propagate,3,nm,50,9,0.16597582290079907
lorenz,propagate,3,nm,50,10,-0.13555293484706518
lorenz,propagate,3,nm,50,11,-0.28354789979812145
lorenz,propagate,3,nm,50,12,-0.4270436070186844
lorenz,propagate,3,nm,50,13,0.3147107443058142
lorenz,propagate,3,nm,50,14,-15.98587295410161
lorenz,propagate,3,nm,50,15,2.5283421814326172
lorenz,propagate,3,nm,50,16,-0.08155105460955457
lorenz,propagate,3,nm,50,17,1.2620654741532737
lorenz,propagate,3,nm,50,18,-0.05659465975386767
lorenz,propagate,3,nm,50,19,0.1985277018468014
lorenz,propagate,3,nm,50,20,22.669031457676653
lorenz,propagate,3,nm,50,21,-0.8529817499872887
lorenz,propagate,3,nm,50,22,-0.6148117432574659
lorenz,propagate,3,nm,50,23,0.5244006191719086
lorenz,propagate,3,nm,50,24,2.046830678769397
lorenz,propagate,3,nm,50,25,-3.387724892042165
lorenz,propagate,3,nm,50,26,0.031501442711580216
lorenz,propagate,3,nm,50,27,1.0731173191859786
lorenz,propagate,3,nm,50,28,-0.03943955750257375
lorenz,propagate,3,nm,50,29,-0.07650902979821836
lorenz,propagate,3,nm,50,30,-1.1233859119591336
lorenz,propagate,3,nm,50,31,0.03584403669037955
lorenz,propagate,3,nm,50,32,1.285228599903614
lorenz,propagate,3,nm,50,33,-0.2641951445183686
lorenz,propagate,3,nm,100,1,-12.512582990063164
lorenz,propagate,3,nm,100,2,-20.73807167903782
lorenz,propagate,3,nm,100,3,20.693473539415383
lorenz,propagate,3,nm,100,4,-1.5464449210008304
lorenz,propagate,3,nm,100,5,0.5943969209939628
lorenz,propagate,3,nm,100,6,-0.0319639384069748
lorenz,propagate,3,nm,100,7,2.8274836118360875
lorenz,propagate,3,nm,100,8,0.22089035701486745
lorenz,propagate,3,nm,100,9,0.16474982193307744
lorenz,propagate,3,nm,100,10,-0.14147666564416272
lorenz,propagate,3,nm,100,11,-0.28385110985287837
lorenz,propagate,3,nm,100,12,-0.42340339569375957
lorenz,propagate,3,nm,100,13,0.31276756100919384
lorenz,propagate,3,nm,100,14,-16.165165792145388
lorenz,propagate,3,nm,100,15,2.5506708833871348
lorenz,propagate,3,nm,100,16,-0.08172654172186607
lorenz,propagate,3,nm,100,17,1.2075630380386315
lorenz,propagate,3,nm,100,18,-0.05634579332106676
lorenz,propagate,3,nm,100,19,0.19808405722172365
lorenz,propagate,3,nm,100,20,22.680243112777603
lorenz,propagate,3,nm,100,21,-0.8512059748849296
lorenz,propagate,3,nm,100,22,-0.6150694547444803
lorenz,propagate,3,nm,100,23,0.5235622851995086
lorenz,propagate,3,nm,100,24,2.3477157691512756
