exp,arm,seed,window_size,index,value
schedule,dense,1,19,17,-0.16648432210683925
schedule,dense,1,19,18,-0.2450992995880129
schedule,dense,1,19,19,0.1345466015045483
schedule,dense,1,19,20,-0.1571597191774339
schedule,dense,1,19,21,0.01635345709835445
schedule,dense,1,19,22,-0.01760725565047931
schedule,dense,1,20,1,-1.8633893588791945
schedule,dense,1,20,2,0.9432517283983279
schedule,dense,1,20,3,-0.013691541841944266
schedule,dense,1,20,4,0.09600615614130223
schedule,dense,1,20,5,-0.07590705549326547
schedule,dense,1,20,6,-0.1338782602544171
schedule,dense,1,20,7,-0.22161473025361383
schedule,dense,1,20,8,0.10480029769812632
schedule,dense,1,20,9,0.08357908791044395
schedule,dense,1,20,10,-0.006610320937165477
schedule,dense,1,20,11,0.025655476559893593
schedule,dense,1,20,12,-0.06333143818900529
schedule,dense,1,20,13,0.038903944017657226
schedule,dense,1,20,14,0.2104974935858521
schedule,dense,1,20,15,0.0519751108061429
schedule,dense,1,20,16,0.2704127989650343
schedule,dense,1,20,17,-0.16648432210683925
schedule,dense,1,20,18,-0.2450992995880129
schedule,dense,1,20,19,0.1345466015045483
schedule,dense,1,20,20,-0.1571597191774339
schedule,dense,1,20,21,0.01635345709835445
schedule,dense,1,20,22,-0.01760725565047931
schedule,dense,1,21,1,-1.8633893588791945
schedule,dense,1,21,2,0.9432517283983279
schedule,dense,1,21,3,-0.013691541841944266
schedule,dense,1,21,4,0.09600615614130223
schedule,dense,1,21,5,-0.07590705549326547
schedule,dense,1,21,6,-0.1338782602544171
schedule,dense,1,21,7,-0.22161473025361383
schedule,dense,1,21,8,0.10480029769812632
schedule,dense,1,21,9,0.08357908791044395
schedule,dense,1,21,10,-0.006610320937165477
schedule,dense,1,21,11,0.025655476559893593
schedule,dense,1,21,12,-0.06333143818900529
schedule,dense,1,21,13,0.038903944017657226
schedule,dense,1,21,14,0.2104974935858521
schedule,dense,1,21,15,0.0519751108061429
schedule,dense,1,21,16,0.2704127989650343
schedule,dense,1,21,17,-0.16648432210683925
schedule,dense,1,21,18,-0.2450992995880129
schedule,dense,1,21,19,0.1345466015045483
schedule,dense,1,21,20,-0.1571597191774339
schedule,dense,1,21,21,0.01635345709835445
schedule,dense,1,21,22,-0.01760725565047931
schedule,dense,1,22,1,-1.8633893588791945
schedule,dense,1,22,2,0.9432517283983279
schedule,dense,1,22,3,-0.013691541841944266
schedule,dense,1,22,4,0.09600615614130223
schedule,dense,1,22,5,-0.07590705549326547
schedule,dense,1,22,6,-0.1338782602544171
schedule,dense,1,22,7,-0.22161473025361383
schedule,dense,1,22,8,0.10480029769812632
schedule,dense,1,22,9,0.08357908791044395
schedule,dense,1,22,10,-0.006610320937165477
schedule,dense,1,22,11,0.025655476559893593
schedule,dense,1,22,12,-0.06333143818900529
schedule,dense,1,22,13,0.038903944017657226
schedule,dense,1,22,14,0.2104974935858521
schedule,dense,1,22,15,0.0519751108061429
schedule,dense,1,22,16,0.2704127989650343
schedule,dense,1,22,17,-0.16648432210683925
schedule,dense,1,22,18,-0.2450992995880129
schedule,dense,1,22,19,0.1345466015045483
schedule,dense,1,22,20,-0.1571597191774339
schedule,dense,1,22,21,0.01635345709835445
schedule,dense,1,22,22,-0.01760725565047931
schedule,dense,1,23,1,-1.8633893588791945
schedule,dense,1,23,2,0.9432517283983279
schedule,dense,1,23,3,-0.013691541841944266
schedule,dense,1,23,4,0.09600615614130223
schedule,dense,1,23,5,-0.07590705549326547
schedule,dense,1,23,6,-0.1338782602544171
schedule,dense,1,23,7,-0.22161473025361383
schedule,dense,1,23,8,0.10480029769812632
