arm,seed,window_size,t,x,y
reset,1,2,15.199999999999765,1.8254984129013978,0.9267233015456239
reset,1,2,15.219999999999764,1.8454855093126297,0.9212039212964236
reset,1,2,15.239999999999764,1.8657708781838722,0.915776152508462
reset,1,2,15.259999999999764,1.8863579557242656,0.9104401865100131
reset,1,2,15.279999999999763,1.907250205665747,0.9051962564169833
reset,1,2,15.299999999999763,1.9284511177621089,0.9000446384102059
reset,1,2,15.319999999999762,1.9499642061780627,0.8949856530649025
reset,1,2,15.339999999999762,1.9717930077617067,0.8900196667344328
reset,1,2,15.359999999999761,1.9939410801934627,0.885147092990523
reset,1,2,15.379999999999761,2.01641200000419,0.8803683941222358
reset,1,2,15.39999999999976,2.0392093604548247,0.8756840826960179
reset,1,2,15.41999999999976,2.0623367692695016,0.8710947231792371
reset,1,2,15.43999999999976,2.0857978462137114,0.8666009336296951
reset,1,2,15.45999999999976,2.1095962205086316,0.8622033874536844
reset,1,2,15.479999999999759,2.133735528072317,0.8579028152352292
reset,1,2,15.499999999999758,2.158219408577988,0.8537000066392372
reset,1,2,15.519999999999758,2.183051502319162,0.8495958123913638
reset,1,2,15.539999999999758,2.2082354468708774,0.8455911463374718
reset,1,2,15.559999999999757,2.23377487353574,0.8416869875856496
reset,1,2,15.579999999999757,2.259673403562966,0.8378843827338321
reset,1,2,15.599999999999756,2.285934644128037,0.8341844481861423
reset,1,2,15.619999999999756,2.312562184059991,0.8305883725611545
reset,1,2,15.639999999999755,2.339559589302759,0.8270974191953493
reset,1,2,15.659999999999755,2.3669303980963154,0.8237129287451076
reset,1,2,15.679999999999755,2.3946781158627646,0.8204363218906557
reset,1,2,15.699999999999754,2.4228062097817857,0.8172691021454418
reset,1,2,15.719999999999754,2.4513181030391635,0.8142128587744807
reset,1,2,15.739999999999753,2.480217168731399,0.8112692698252603
reset,1,2,15.759999999999753,2.509506723408639,0.8084401052748469
reset,1,2,15.779999999999752,2.5391900202373874,0.8057272302968671
reset,1,2,15.799999999999752,2.569270241763679,0.8031326086520707
reset,1,2,15.819999999999752,2.5997504922565495,0.8006583062061965
reset,1,2,15.839999999999751,2.630633789610835,0.7983064945788683
reset,1,2,15.85999999999975,2.6619230567874475,0.7960794549272365
reset,1,2,15.87999999999975,2.693621112768428,0.7939795818680536
reset,1,2,15.89999999999975,2.7257306630031777,0.7920093875418265
reset,1,2,15.91999999999975,2.758254289321382,0.7901715058226195
reset,1,2,15.939999999999749,2.79119443928724,0.7884686966769918
reset,1,2,15.959999999999749,2.8245534149686997,0.7869038506754304
reset,1,2,15.979999999999748,2.8583333610945045,0.7854799936594945
reset,1,2,15.999999999999748,2.892536252570941,0.7842002915676998
reset,1,2,16.019999999999747,2.9271638813293084,0.7830680554229512
reset,1,2,16.039999999999747,2.9622178424742422,0.7820867464840695
reset,1,2,16.059999999999746,2.997699519702186,0.7812599815636438
reset,1,2,16.079999999999746,3.0336100699584945,0.780591538514083
reset,1,2,16.099999999999746,3.069950407300876,0.7800853618833161
