window_size,dp_w,dp_wv,J
1,-1.425,0.175,0.9796636789076504
1,-1.425,0.1875,0.9988411977313539
1,-1.425,0.2,1.0187305098565116
1,-1.425,0.2125,1.0393223467541257
1,-1.425,0.225,1.0606074652084327
1,-1.425,0.2375,1.0825766469883626
1,-1.425,0.25,1.1052206985220716
1,-1.425,0.2625,1.1285304505751952
1,-1.425,0.275,1.1524967579334746
1,-1.425,0.2875,1.1771104990904198
1,-1.425,0.3,1.2023625759406529
1,-1.425,0.3125,1.2282439134796035
1,-1.425,0.325,1.2547454595101988
1,-1.425,0.3375,1.281858184357239
1,-1.425,0.35,1.3095730805900707
1,-1.425,0.3625,1.3378811627542562
1,-1.425,0.375,1.3667734671128682
1,-1.425,0.3875,1.3962410513980572
1,-1.425,0.4,1.4262749945735516
1,-1.425,0.4125,1.456866396608708
1,-1.425,0.425,1.488006378264765
1,-1.425,0.4375,1.5196860808939012
1,-1.425,0.45,1.5518966662517275
1,-1.425,0.4625,1.5846293163238199
1,-1.425,0.475,1.6178752331668715
1,-1.425,0.4875,1.6516256387650803
1,-1.425,0.5,1.6858717749023024
1,-1.3875,-0.5,1.2366407987554655
1,-1.3875,-0.4875,1.202931414245483
1,-1.3875,-0.475,1.1704671534711193
1,-1.3875,-0.4625,1.139237152331096
1,-1.3875,-0.45,1.10923058048728
1,-1.3875,-0.4375,1.0804366414267885
1,-1.3875,-0.425,1.0528445725176507
1,-1.3875,-0.4125,1.02644364505777
1,-1.3875,-0.4,1.0012231643169431
1,-1.3875,-0.3875,0.9771724695717291
1,-1.3875,-0.375,0.9542809341329259
1,-1.3875,-0.3625,0.9325379653654443
1,-1.3875,-0.35,0.911933004700385
1,-1.3875,-0.3375,0.8924555276391052
1,-1.3875,-0.325,0.8740950437491044
1,-1.3875,-0.3125,0.856841096651547
1,-1.3875,-0.3,0.8406832640002674
1,-1.3875,-0.2875,0.8256111574521023
1,-1.3875,-0.275,0.8116144226284132
1,-1.3875,-0.2625,0.7986827390676993
1,-1.3875,-0.25,0.7868058201691662
1,-1.3875,-0.2375,0.7759734131271796
1,-1.3875,-0.225,0.7661752988565377
1,-1.3875,-0.2125,0.7574012919084858
1,-1.3875,-0.2,0.7496412403774497
1,-1.3875,-0.1875,0.7428850257984744
1,-1.3875,-0.175,0.7371225630353486
1,-1.3875,-0.1625,0.7323438001594499
1,-1.3875,-0.15,0.7285387183193411
1,-1.3875,-0.1375,0.7256973316011797
1,-1.3875,-0.125,0.7238096868800122
1,-1.3875,-0.1125,0.7228658636629255
1,-1.3875,-0.1,0.7228559743720562
1,-1.3875,-0.0875,0.7237703943626692
1,-1.3875,-0.075,0.7256243928944525
1,-1.3875,-0.0625,0.7284190100478366
1,-1.3875,-0.05,0.7321091153000816
1,-1.3875,-0.0375,0.7366841959920781
1,-1.3875,-0.025,0.7421345533297656
1,-1.3875,-0.0125,0.7484505211548721
1,-1.3875,0.0,0.7556224641446301
1,-1.3875,0.0125,0.7636407775708124
1,-1.3875,0.025,0.7724958870552081
1,-1.3875,0.0375,0.7821782483188652
1,-1.3875,0.05,0.792678346925442
1,-1.3875,0.0625,0.8039866980190594
1,-1.3875,0.075,0.8160938460570377
1,-1.3875,0.0875,0.8289903645379305
1,-1.3875,0.1,0.8426668557252911
1,-1.3875,0.1125,0.8571139503676046
1,-1.3875,0.125,0.872322307414849
1,-1.3875,0.1375,0.8882826137321672
1,-1.3875,0.15,0.9049855838111235
1,-1.3875,0.1625,0.9224219594790531
1,-1.3875,0.175,0.9405825096070228
1,-1.3875,0.1875,0.9594580298169068
1,-1.3875,0.2,0.9790393421881495
1,-1.3875,0.2125,0.9993172949647242
1,-1.3875,0.225,1.0202827622628663
1,-1.3875,0.2375,1.0419266437801358
1,-1.3875,0.25,1.0642398645063833
1,-1.3875,0.2625,1.0872133744372003
1,-1.3875,0.275,1.1108381482904341
1,-1.3875,0.2875,1.1351051852263596
1,-1.3875,0.3,1.1600055085721037
1,-1.3875,0.3125,1.1855301655509194
1,-1.3875,0.325,1.211670227016904
1,-1.3875,0.3375,1.2384167871957807
1,-1.3875,0.35,1.2657609634323224
1,-1.3875,0.3625,1.2936938959450486
1,-1.3875,0.375,1.3222067475887724
1,-1.3875,0.3875,1.3512907036256219
1,-1.3875,0.4,1.3809369715051116
1,-1.3875,0.4125,1.4111367806538795
1,-1.3875,0.425,1.441881382275671
1,-1.3875,0.4375,1.4731620491621589
1,-1.3875,0.45,1.5049700755151663
1,-1.3875,0.4625,1.537296776780892
1,-1.3875,0.475,1.5701334894966748
1,-1.3875,0.4875,1.6034715711508813
1,-1.3875,0.5,1.6373024000564382
